site name,site_num,heat_island,micro_hab,uhii_year,avg_humidity,sample_id,sample_lat,sample_long,moss_pres,morpho_pres,Canopy cover directions,,,,can_cov,growth_sub,dist_walk_m,dist_road_m,dist_water_m,direc_found,num_col,water_pres,moss_area_m2,NOTES
,,,,,,18.2,34.12694444,-117.7838889,1,1,5,67,3,0,80.47,dirt ,0,NR,NR,north,32,0,0.017,
,,,,,,18.3,34.12694444,-117.7841667,1,1,81,79,68,78,20.31,dirt ,0,NR,NR,north,4,0,0.011,
san dimas canyon community regional park,19,4,greenspace,27098.9,,19.1,34.1275,-117.7925,1,,25,40,4,14,78.39,dirt,5.8,16.2,NR,west,13,0,,
,,,,,,19.2,34.12722222,-117.7927778,0,0,6,14,8,12,89.58,dirt,21.6,9.6,NR,south,2,0,0,
,,,,,,19.2x,34.1275,-117.7930556,1,1,30,5,7,12,85.94,dirt,18.3,13.2,NR,east,2,0,,
,,,,,,19.3,34.1275,-117.7930556,0,0,8,10,7,10,90.89,dirt,>30,17,NR,west,0,0,0,
"overland ct, san dimas",20,3,urban,24984.2,,20.1,34.11138889,-117.8263889,1,1,3,18,53,92,56.77,dirt,>30,4.9,NR,east,25,0,,
,,,,,,20.2,34.11166667,-117.8263889,1,1,95,43,48,72,32.81,dirt,>30,0.04,NR,east,44,0,,
,,,,,,20.3,34.11194444,-117.8261111,1,1,6,59,30,80,54.43,dirt,>30,0.04,NR,west,27,0,,
legg lake,21,2,waterway,14055.4,,21.1,34.03666667,-118.0575,1,1,96,86,77,16,28.39,dirt,7.6,NR,14.8,north,39,0,,
,,,,,,21.2,34.03666667,-118.0575,0,0,77,86,17,13,49.74,dirt,2.4,NR,17.1,center,0,0,0,
,,,,,,21.3,34.03694444,-118.0577778,1,1,10,85,13,49,59.11,"dirt, bark",2.9,NR,14.4,west,2,0,,
whittier narrows rec area,22,2,green,,,22.1,,,0,0,14,61,58,3,64.58,dirt,24,> 30,,west,5,0,0,
,,,,,,22.1x,,,1,1,14,8,4,9,90.89,dirt,24,>30,,center,5,0,,
,,,,,,22.2,,,0,0,7,13,11,15,88.02,sand/dirt,9.1,>30,,west,0,0,0,
,,,,,,22.3,,,0,0,55,15,19,44,65.36,dirt,2.6,>30,,north,0,0,0,
legg lake 2,23,2,waterway,14055.4,,23.1,34.03833333,-118.0633333,0,0,96,95,10,53,33.85,sand,>30,NR,13.2,east,10,0,0,
,,,,,,23.1x,34.03833333,-118.0633333,1,,4,12,90,54,58.33,dirt,>30,NR,17.2,center,10,0,,
,,,,,,23.2,34.03805556,-118.0633333,0,0,21,47,94,64,41.15,dirt,29.5,21.4,>30,west,11,0,0,
,,,,,,23.2x,34.03805556,-118.0633333,1,1,13,11,25,4,86.2,dirt,28.2,24.6,>30,north,11,0,,
,,,,,,23.3,34.03805556,-118.0633333,0,0,95,81,70,22,30.21,"dirt, sand",24.5,26.8,>30,east,0,0,0,
"w thirteenth st, azusa",24,4,residential,27212.8,,24.1,34.14444444,-117.9069444,1,1,17,29,84,84,44.27,dirt,0,1.35,NR,east,27,0,,
,,,,,,24.2,34.14472222,-117.9077778,0,0,14,96,79,96,25.78,concrete,0,1.55,NR,east,0,0,0,
,,,,,,24.3,34.14444444,-117.9072222,1,1,96,83,92,92,5.47,dirt,1.2,0.12,NR,south,7,0,,
santa fe dam rec area,25,3,waterway,22124,,25.1,34.11138889,-117.9436111,1,1,1,0,9,29,89.84,dirt,4.4,NR,21.4,west,12,0,,
,,,,,,25.2,34.11138889,-117.9436111,0,0,6,25,5,27,83.59,dirt,2,18.1,>30,center,100,0,0,
,,,,,,25.2x,34.11138889,-117.9433333,1,1,90,4,1,24,69.01,dirt,0.6,15,>30,north,100,0,,
,,,,,,25.3,34.11638889,-117.94,1,1,37,96,96,70,22.14,"dirt, concrete crack",0,14,NR,north,4,0,,
"phoebe ct, west covina",26,3,residential,18176.3,,26.1,34.01777778,-117.8908333,1,1,11,39,18,39,72.14,dirt,7.7,8.7,NR,east,125,0,,
,,,,,,26.2,34.01777778,-117.8911111,0,0,96,96,60,70,16.15,dirt,10.4,13,NR,west,0,0,0,
,,,,,,26.3,34.01805556,-117.8905556,0,0,81,58,48,13,47.92,dirt,0.29,17,NR,north,0,0,0,
peter schabarum park,27,2,greenspace,11353.2,,27.1,,,0,0,89,50,86,82,20.05,dirt,0.5,>30,NR,north,3,0,0,
,,,,,,27.1x,33.99083333,-117.9322222,1,1,49,32,91,11,52.34,dirt,0.45,>30,NR,center,3,0,,
,,,,,,27.2,33.99055556,-117.9319444,0,0,84,77,19,82,31.77,dirt,4.75,>30,NR,center,7,0,0,
,,,,,,27.2x,33.99083333,-117.9322222,1,1,88,89,50,64,24.22,dirt,6.85,>30,NR,south,7,1,,
,,,,,,27.3,33.98972222,-117.9302778,0,0,88,55,58,81,26.56,dirt,18.2,>30,NR,south,0,0,0,
chino creek,28,3,waterway,23571,,28.1,33.96888889,-117.6847222,0,0,96,96,96,96,0,dirt,>30,>30,NR,center,0,0,0,
,,,,,,28.2,33.96861111,-117.6847222,0,0,96,96,96,96,0,dirt,16.4,>30,NR,south,0,0,0,
,,,,,,28.3,33.96888889,-117.6852778,0,0,96,96,96,96,0,dirt,11,>30,NR,center,0,0,0,
"sam's cafe, claremont",29,4,urban,27198.9,,29.1,34.082778,-117.719167,1,1,62,14,3,4,78.39,dirt,2,7.22,NR,west,102,0,,
,,,,,,29.2,34.082778,-117.719444,1,2,11,18,20,18,82.55,dirt,0,8.6,NR,east,4,0,,
,,,,,,29.3,34.083056,-117.719444,1,1,21,51,7,29,71.88,dirt,0,8.6,NR,east,48,0,,
"N harvard ave, claremont",30,4,urban,27507.7,,30.1,34.106667,-117.716389,1,1,0,1,4,28,91.41,dirt,0,3.5,NR,center,9,0,,
,,,,,,30.2,34.106667,-117.716667,1,1,33,60,3,4,73.96,dirt,0.2,3.6,NR,north,59,0,,
,,,,,,30.3,34.106944,-117.716667,0,0,96,9,33,96,39.06,concrete,0,3.5,NR,center,53,0,0,
,,,,,,30.3x,34.106944,-117.716389,1,1,28,92,23,85,40.63,dirt,0.37,4.2,NR,south,53,0,,
"via del marino, la verne",31,4,residential,30834.8,,31.1,34.144722,-117.762778,1,1,42,9,76,24,60.68,dirt,0.12,1.5,NR,south,9,0,,
,,,,,,31.2,34.144444,-117.762778,1,1,71,91,78,10,34.9,asphalt,0.4,0,NR,west,3,0,,
,,,,,,31.3,34.144167,-117.762778,0,0,3,19,96,3,68.49,"dirt, concrete",0,1.5,NR,center,0,0,0,
"bonelli park, san dimas",32,3,greenspace,20882.7,,32.1,34.078333,-117.801111,1,1,70,7,5,15,74.74,tree bark/root,0.8,7.9,NR,center,4,0,,
